     Eje X     Eje Y     Eje Z
  1.400062 -0.856988 -0.713941
  1.380062 -0.334988 -0.790941
  1.241063 -0.099988 -1.051941
  1.160063 -0.121988 -1.220941
  1.010062 -0.336988 -1.258941
  0.779063 -0.668988 -1.089941
 -0.651937 -1.500988 -0.923941
 -0.785937 -1.494988 -0.788941
 -0.970937 -1.706988 -0.923941
 -1.096938  1.894012 -0.963941
 -1.447937  1.576012 -0.498941
 -1.821937  1.158012 -0.572941
  1.955063  0.702012 -0.586941
  0.495063  0.200012 -0.536941
  0.235062 -0.188988 -0.263941
  0.040062 -0.574988 -0.382941
 -0.111938 -0.940988 -0.476941
 -0.278937 -1.180988 -0.445941
 -0.303937 -1.467988 -0.591941
 -0.339938 -1.574988 -0.533941
  1.870062  1.049012 -0.619941
  1.882063  1.061012 -0.782941
  1.780063  1.080012 -0.695941
  1.438063  1.215012 -0.790941
  1.212062  1.132012 -1.004941
  1.104063  1.296012 -0.966941
  1.048062  1.492012 -0.999941
  1.129063 -0.376988 -0.924941
  1.196062 -0.341988 -0.607941
  1.202062 -0.358988 -0.695941
  1.156062 -0.243988 -0.843941
  1.217062 -0.250988 -0.757941
  1.296062 -0.249988 -0.607941
  1.390062 -0.063988 -0.634941
  0.016062 -1.567988 -0.653941
  0.004062 -1.456988 -0.903941
 -0.227938 -1.380988 -1.126941
 -0.209937 -1.513988 -1.186941
 -0.318938 -1.699988 -1.204941
 -0.213938 -1.917988 -1.398941
 -0.084937  1.654012 -1.284941
  0.703062  0.267012 -1.273941
  0.597063 -0.007988 -0.895941
  0.396062 -0.135988 -0.859941
  0.357062 -0.351988 -0.709941
  0.404063 -0.446988 -0.659941
  0.495063 -0.428988 -0.679941
  0.505063 -0.468988 -0.561941
  0.824063  1.175012 -0.709941
  0.766062  0.719012 -0.764941
  0.653063  0.397012 -0.742941
  0.557063 -0.130988 -0.927941
  0.371062 -0.604988 -0.878941
  0.301062 -0.826988 -0.847941
  0.221062 -1.247988 -0.823941
  1.769063 -1.396988 -0.719941
  1.210063 -1.692988 -0.854941
  0.949063 -1.895988 -0.890941
  0.547063  1.870012 -0.999941
  0.113063  1.559012 -0.951941
 -0.207937  1.337012 -1.010941
 -1.770937  1.662012 -1.091941
 -1.844937  1.524012 -0.897941
 -1.918937  1.333012 -0.801941
  1.974062  1.183012 -0.943941
  1.800063  0.947012 -1.149941
  1.668062  0.744012 -0.900941
  1.572062  0.534012 -0.889941
  1.549062  0.998012 -0.941941
  1.499063  0.941012 -0.656941
  1.425063  0.871012 -0.602941
